DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
14-06-2010,527.95,534.75,525.1,531.7,669812,24777
15-06-2010,533.85,534.83,525.5,532.73,803069,25325
16-06-2010,535,539.35,527.53,528.68,643448,19148
17-06-2010,530.25,538.83,529.4,535.65,1310248,34795
18-06-2010,535.48,544.95,526,527.63,2147622,63645
21-06-2010,530.55,536.9,530.55,532.63,498631,15083
22-06-2010,532.5,537.4,515,531.83,563909,16377
23-06-2010,529.5,533.85,527,529.3,480019,13431
24-06-2010,527.6,532.5,524,525.65,514611,16287
25-06-2010,525,534,521.6,531.63,986768,29418
28-06-2010,535,545.4,532.5,544,1231623,35759
29-06-2010,542.45,543.85,532.05,533.65,646529,18393
30-06-2010,529.98,546.45,527.6,543.45,1037010,32246
01-07-2010,541.8,541.8,534,538.08,525628,16700
02-07-2010,539.35,541.85,532.55,534.23,528751,14417
05-07-2010,532.48,536.93,531.7,533.9,277899,7674
06-07-2010,532.48,539.88,532.48,536.3,325993,10198
07-07-2010,536.25,537.5,525.5,526.48,555709,18407
08-07-2010,532.35,535,527.5,528.25,542799,14240
09-07-2010,530,533,526.2,527.93,474429,14919
12-07-2010,531,534,526.35,527.88,530736,14814
13-07-2010,527.48,538.93,527.48,537.38,678782,20023
14-07-2010,540.03,542.5,533.05,534.53,470777,13851
15-07-2010,535.48,539.95,532.5,536.48,387190,13096
16-07-2010,534.98,536.1,530.13,531.48,430435,11269
19-07-2010,528.75,532.88,527,528.13,503332,13166
20-07-2010,530.5,532.93,525.03,526.45,335388,9603
21-07-2010,529.5,531.5,528,529.13,356022,9358
22-07-2010,528.5,530.43,524.53,529.45,540518,15454
23-07-2010,535,535.35,528.5,530.08,611782,16026
26-07-2010,530.53,534.15,524.75,526.03,430028,11363
27-07-2010,528.75,530.5,525.63,526.75,549603,16318
28-07-2010,532.5,534.35,509.23,510.48,2616140,72694
29-07-2010,511.5,514.35,504.05,505.23,1326242,42698
30-07-2010,502.48,510.2,502,504.8,871031,27672
02-08-2010,510.03,510.5,506,507.28,392665,14089
03-08-2010,509.45,514.75,506.45,513.1,759685,21657
04-08-2010,514.85,514.85,506.58,507.95,706261,19061
05-08-2010,507.35,514,502.13,503.48,739922,22217
06-08-2010,505.85,505.85,499.5,500.15,931984,32454
09-08-2010,501,504.35,496.08,496.83,1014051,33531
10-08-2010,510,510,493.5,494.13,1016032,36423
11-08-2010,494.25,497.45,490.05,491.28,1454858,45218
12-08-2010,488.05,489.5,485,486.13,1458416,45100
13-08-2010,485,496.98,478.55,489.53,1508787,40307
16-08-2010,509.35,509.35,487,488.1,707861,23214
17-08-2010,490,494.95,485.05,485.55,708185,20353
18-08-2010,489.35,489.35,479.5,482.38,1290852,40536
19-08-2010,493.33,493.33,482.5,488.4,1028544,25870
20-08-2010,485.5,496.5,485.5,494.08,1258358,33153
23-08-2010,495,497.48,487.58,488.2,826549,17321
24-08-2010,489.5,490.4,484.03,486.08,775358,18598
25-08-2010,485,488.5,482.55,484.05,662809,19332
26-08-2010,487.35,487.35,477.58,478.35,1059765,30522
27-08-2010,473.28,485,473.28,474.88,1339592,42514
30-08-2010,480.65,481,472.63,473.88,821001,19229
31-08-2010,472.45,473.4,457.55,459.43,2635133,74485
01-09-2010,465.5,471.45,461.25,468.23,1098222,28851
02-09-2010,472.5,473.95,467.6,468.58,732930,19549
03-09-2010,470.5,470.95,462.15,462.8,767530,22317
06-09-2010,457.5,478.73,442.58,476.6,1386366,41741
07-09-2010,478.5,484.9,476.55,480.93,1210511,26980
08-09-2010,481,482.63,476.5,480.03,579072,17554
09-09-2010,482.45,483.5,477.55,478.98,511133,14632
13-09-2010,482.68,497.4,482.68,496.1,1162928,36536
14-09-2010,496,501.5,492.1,493.88,1088665,30865
15-09-2010,495,508,492.85,505.23,1575366,49311
16-09-2010,501,509,499.28,500.45,680534,21652
17-09-2010,503,514.9,501.13,513.38,1253262,38112
20-09-2010,514.35,521.45,510.28,519.85,1091333,31012
21-09-2010,522.5,524,512.63,516.45,848031,26845
22-09-2010,520,521.2,507.58,509.63,706392,22714
23-09-2010,512.35,512.35,497.8,498.85,897955,26313
24-09-2010,493.5,504.35,493.5,500.83,935870,23003
27-09-2010,504,509.45,502.5,504.78,615154,18166
28-09-2010,504,506.4,496.63,499.13,678651,19175
29-09-2010,501,504.43,497.58,499.53,867873,16260
30-09-2010,500,500,489.63,493.18,1104064,25026
01-10-2010,496,504.38,495.5,503.23,601888,18521
04-10-2010,507,512.5,505.15,508.95,720106,21634
05-10-2010,508,515.45,504.68,511.63,1096186,23154
06-10-2010,515,523.5,513.15,522.3,1250887,32034
07-10-2010,523.5,527.5,516.05,519.25,1431801,32019
08-10-2010,515,526.25,515,524.13,917298,24846
11-10-2010,527.5,535,527.5,534.48,1177857,29304
12-10-2010,534.5,537.2,523.03,526.95,536330,15584
13-10-2010,529,536.58,527.58,536.08,1013972,24631
14-10-2010,537.5,539.5,527.05,529.13,904972,20763
15-10-2010,532,533.75,518,520.45,507942,15476
18-10-2010,522.68,532.5,517.13,524.45,833234,19511
19-10-2010,531.65,534,520,521.93,852894,18580
20-10-2010,520,531.9,519,524.35,876685,18951
21-10-2010,526.5,543.25,524.58,539.63,1534133,43609
22-10-2010,541.55,546.43,537.13,540.73,882032,24817
25-10-2010,542.75,550.5,542.75,545.18,822666,25650
26-10-2010,543.78,549.85,543.78,548.25,493672,15337
27-10-2010,548.25,555,542.5,546.33,901549,26217
28-10-2010,550,551,539,541.53,716377,15835
29-10-2010,541.5,553.65,540.05,547.9,1076352,28067
01-11-2010,560.55,593.5,544.18,546.55,728921,20427
02-11-2010,547,548,535.63,537.18,782103,21965
03-11-2010,541,542.5,531.13,532.63,888139,19190
04-11-2010,538,553.4,537.65,552.38,1058779,36242
05-11-2010,557.95,560,551.1,553.48,526762,19422
08-11-2010,555.25,559.63,550,556,678725,18717
09-11-2010,557,560.25,548.88,553.73,568146,17619
10-11-2010,552.5,558.28,550,551.23,614462,14514
11-11-2010,553.5,555.8,539.03,541.03,500439,17031
12-11-2010,539.85,543.8,529.25,530.93,810437,25389
15-11-2010,533.5,534,519.68,527,646892,20900
16-11-2010,528.55,529,514.03,515.18,767414,21974
18-11-2010,517.5,522.6,507.5,516.28,920443,25124
19-11-2010,517,518.35,493.58,498.43,1011112,33926
22-11-2010,502.35,507.5,499.4,506.05,491447,17668
23-11-2010,502.5,502.5,487.55,497.45,982564,32266
24-11-2010,500,507.95,493.5,497.05,536946,22820
25-11-2010,500.55,501.5,488,490.15,890823,22777
26-11-2010,492,495.25,479.45,481.28,1087474,32232
29-11-2010,485,501,481.28,499.1,972196,29738
30-11-2010,498.55,503.7,491.13,493.4,815989,25413
01-12-2010,492.5,498.7,491.7,495.05,594552,19469
02-12-2010,499.5,505.75,498.08,504.75,723874,23946
03-12-2010,505.5,511.28,499.13,503.2,721216,23992
06-12-2010,506.5,514.9,506.25,509.88,685178,20018
07-12-2010,509.55,519.7,509.55,515.25,739727,24833
08-12-2010,512.45,513.58,505.7,509.55,401742,14038
09-12-2010,512.1,516.5,488.6,492.18,1108649,29609
10-12-2010,492.75,514.5,490,511.85,944021,28114
13-12-2010,512.08,522.5,504.53,520.9,707164,23742
14-12-2010,522,529,520.75,526.3,760158,22264
15-12-2010,528,531.25,518.15,525.95,724613,20925
16-12-2010,526,529.5,520.5,527.9,519352,16762
20-12-2010,522.48,534,520.53,528.73,477540,17440
21-12-2010,529.25,537.3,529.25,535.73,655305,20157
22-12-2010,535.65,537.5,525.03,528.53,664288,17385
23-12-2010,528.08,532,525.1,529.08,375097,12465
24-12-2010,527.95,531.78,525.18,529.78,298839,8869
27-12-2010,529.13,534,525.88,527.55,274429,8870
28-12-2010,527.55,529.7,521.25,523.58,588776,11299
29-12-2010,524.48,527,523.03,524.15,358365,7605
30-12-2010,525.55,527.85,523.05,525.3,211129,6021
31-12-2010,529.05,533.13,526.68,529.13,353766,12866
03-01-2011,531,533.2,526.1,527.08,378399,9715
04-01-2011,530,539.4,528.08,538.28,924301,20321
05-01-2011,538.78,545,535.08,536.95,1179976,24611
06-01-2011,539.83,544.5,536.68,542,684836,18701
07-01-2011,540.5,543.8,529.05,532.45,580577,17995
10-01-2011,533,535,510.68,515.53,699751,19862
11-01-2011,518.58,524.3,499.55,507.15,808400,27224
12-01-2011,510,517.5,501.53,515.3,700838,23515
13-01-2011,515,519.78,505.78,507.63,990552,23629
14-01-2011,507.65,514.48,499,500.58,1136908,24846
17-01-2011,501.95,503.43,496.2,498.9,673997,20276
18-01-2011,502.35,503.75,495,497.3,592392,17386
19-01-2011,500,502.45,488,490.75,690096,22708
20-01-2011,489.23,489.23,477.1,484.88,1915861,51005
21-01-2011,487.5,496,486.05,493.25,808116,26673
24-01-2011,498.73,498.73,482.5,485.53,944959,30189
25-01-2011,489,492.23,478,479.28,902268,26918
27-01-2011,483.25,484,470,471.5,1171939,36229
28-01-2011,472.5,473.23,451.55,457.25,2000304,64430
31-01-2011,454.5,464.5,451.65,459.63,1482248,37439
01-02-2011,463,463.95,445,447.83,2333859,57950
02-02-2011,455,463.75,453.5,460.7,1622562,35355
03-02-2011,463,473.85,457.3,471.75,1816338,30692
04-02-2011,472.85,473,457,459.75,975890,26783
07-02-2011,462.5,469.45,457.2,464.65,649256,20804
08-02-2011,468,469.4,455.8,457.75,725495,18530
09-02-2011,454.73,468.23,452,455.93,1169556,33050
10-02-2011,457.4,460.5,442.5,449.88,1284807,36012
11-02-2011,450.73,457.4,444,455.3,799719,25210
14-02-2011,455,459,447.5,457.6,1273036,38606
15-02-2011,456.95,472.23,455.78,470.88,1013470,30190
16-02-2011,469.7,475.5,468.5,472,506683,17180
17-02-2011,473.95,477.5,468.5,476.75,569068,17312
18-02-2011,477.55,481.5,466.75,468.68,932065,20630
21-02-2011,468.05,480.5,467.08,478.25,1056632,22863
22-02-2011,495.75,504.33,489.55,492.53,3316057,76749
23-02-2011,492.5,501.43,491.25,498.18,819606,23967
24-02-2011,497.5,499.1,480,482.93,1051226,24880
25-02-2011,488.5,490.58,477,482.98,634593,21207
28-02-2011,485.85,497,480.5,482.48,942080,25711
01-03-2011,485.75,496,484.25,494.48,564116,19208
03-03-2011,488.5,492.58,484.35,489.2,710671,20719
04-03-2011,492.2,496.5,489.25,490.88,495654,14961
07-03-2011,487.4,490.95,482.05,488.08,602015,16064
08-03-2011,489.5,495.95,489.08,492.2,610357,16789
09-03-2011,494.25,501.9,484.05,496.95,1767127,38224
10-03-2011,496.08,496.5,490.95,492.23,552327,12153
11-03-2011,490.35,497.43,485.95,495.8,978649,21183
14-03-2011,495.9,510,495.9,508.83,991938,31606
15-03-2011,497.63,524.25,495.08,518.15,1985537,63219
16-03-2011,521.75,527.25,519.08,522.3,869413,24854
17-03-2011,520.5,524.25,514.03,515.73,504722,17008
18-03-2011,517.95,518,493.6,496.58,1811566,58633
21-03-2011,500,500.5,490.8,494.28,704116,21490
22-03-2011,496.88,502.38,496.05,499.75,403761,14596
23-03-2011,499.58,507.5,497.75,506.33,556824,18032
24-03-2011,507.25,510.7,501.8,505.05,360106,12957
25-03-2011,508.5,514.5,505.2,513.03,546596,15463
28-03-2011,513.53,518.45,505.5,511.7,619730,19232
29-03-2011,510.5,515.75,509.53,511.33,504136,14961
30-03-2011,512.55,518.4,512,516.45,385073,10531
31-03-2011,517.83,526.25,517.45,523.9,796293,20072
01-04-2011,524.48,532.78,511.48,517.65,566087,19673
04-04-2011,519.05,526.9,514.53,524.93,468667,15487
05-04-2011,525,528.88,519.75,522.48,299884,12043
06-04-2011,522,526.85,520,521.93,249854,8786
07-04-2011,522.5,523.9,517.5,520.08,259899,8134
08-04-2011,520.5,524.78,510.38,512.13,318827,10704
11-04-2011,509.2,510,500,503.58,289025,10347
13-04-2011,500.6,511.75,499,510.85,505674,16248
15-04-2011,510.5,511.5,503.05,509.2,379875,11542
18-04-2011,510,521.75,503.18,505.08,483168,16123
19-04-2011,502.95,508.95,499.5,505.68,500805,15618
20-04-2011,507.5,514.35,503.55,512.85,360323,11043
21-04-2011,516,522,514.55,519.98,688028,19853
25-04-2011,507.25,510.68,503.25,504.55,708505,22099
26-04-2011,504,504.5,499.03,500.38,707424,20061
27-04-2011,503,504,490.08,492.58,1087686,32975
28-04-2011,496.5,496.5,485.83,486.93,760972,21825
29-04-2011,487.5,492.5,486.08,490.98,449863,15382
02-05-2011,491.85,493.5,480.58,482.35,624890,18036
03-05-2011,482.45,483.75,470.85,471.98,906546,27428
04-05-2011,472.55,478.05,470,473.5,576020,19928
05-05-2011,473.35,481.73,471.75,474.75,577675,17265
06-05-2011,477.5,479.75,475.05,477.7,475624,11427
09-05-2011,479.73,482.8,475.7,479.18,291385,10937
10-05-2011,480.5,481.78,473.75,475.75,309309,9274
11-05-2011,477.5,479,472.03,477.35,330524,10708
12-05-2011,476.25,477.45,470.85,472.43,283034,9772
13-05-2011,472.5,480.98,469.08,474.33,415337,13694
16-05-2011,475.9,475.9,471.05,472.15,333198,9240
17-05-2011,472.35,473.73,459.38,460.2,750461,26569
18-05-2011,461.23,461.9,449.63,450.9,820224,29868
19-05-2011,453.18,460.7,452.5,457.45,553479,18586
20-05-2011,458.03,462.5,455.25,460.7,467723,15331
23-05-2011,459.93,460.5,451.9,454,369939,12709
24-05-2011,455,460.48,454,457.63,383377,13831
25-05-2011,456.8,457,451.28,453.4,455758,10368
26-05-2011,457.25,467.95,455.9,466.63,647517,18866
27-05-2011,467.5,476.3,467.5,473.15,393556,13957
30-05-2011,473.5,476.5,467.65,469.85,213307,8932
31-05-2011,470,477.35,468.43,475.88,316462,10355
01-06-2011,475.25,479,471.9,473.38,351278,8219
02-06-2011,470,477.25,468.5,475.93,298465,9476
03-06-2011,480,483.95,466.4,468.08,1266573,38383
06-06-2011,466.5,469.98,464.48,469.05,340248,8681
07-06-2011,467.5,478.85,467.5,478.1,435978,14189
08-06-2011,476.75,477.5,471.83,473.68,240848,8896
09-06-2011,473.25,478.9,473.25,477.05,307028,10438
10-06-2011,477.5,478.5,466,472,372148,11001
13-06-2011,471.45,471.45,460.65,463.33,405791,15087
14-06-2011,464.4,465.68,456.03,456.78,553729,18018
15-06-2011,455.55,459.33,449.5,450.38,1162506,29454
16-06-2011,450,450,442.55,444,1035591,29718
17-06-2011,447,447,432.63,434.2,1148504,36466
20-06-2011,437.25,437.25,414.5,417.3,1305290,39753
21-06-2011,419.93,427.3,419.03,424.25,652599,21455
22-06-2011,427.45,429,417.05,423.05,749727,18269
23-06-2011,422.68,436.38,422.68,435.33,909704,25735
24-06-2011,437.15,439.65,427.73,435.2,996698,30222
27-06-2011,432.5,440,431,435.75,463778,14472
28-06-2011,438.9,438.95,431.13,435.28,408979,12041
29-06-2011,437.3,443.73,435.78,442.65,386970,13172
30-06-2011,444.95,449.98,443.58,448.8,416727,13642
01-07-2011,450,453,429,431.08,918712,31498
04-07-2011,436.98,439.5,432.25,434.08,491286,12576
05-07-2011,434.15,435,422.05,423.08,837648,27264
06-07-2011,424.08,429.3,420.5,426.33,970576,27879
07-07-2011,429.45,437.5,427.5,435.18,675064,19729
08-07-2011,435.6,437,426.05,427.2,667880,14438
11-07-2011,427.5,429.8,423.73,426.6,364399,11309
12-07-2011,423.9,428.63,422.58,424.25,386270,11995
13-07-2011,426.85,433.83,425.55,432.28,383067,13069
14-07-2011,431.55,439,429.53,433.45,515477,15263
15-07-2011,433.45,437.75,432.25,436.65,349746,9607
18-07-2011,436.45,437.35,432.53,433.55,462210,7042
19-07-2011,432.68,440.4,432.68,439.58,412659,15682
20-07-2011,443.05,443.45,434.53,437.65,354180,12976
21-07-2011,438,438.18,428.83,430.38,271090,8649
22-07-2011,433.3,438.2,431.58,436.8,423785,13315
25-07-2011,446.45,446.48,440,441.08,995102,21097
26-07-2011,444.25,444.95,434.4,435.58,567335,17685
27-07-2011,437.88,437.88,429.83,430.35,331149,9673
28-07-2011,427.5,427.5,416.8,418.68,1007933,28632
29-07-2011,419.53,423.83,412,413.85,658065,21739
01-08-2011,418.5,418.98,411.4,415.45,458238,15663
02-08-2011,414.9,422.5,409.08,417.55,726397,21576
03-08-2011,413.98,418,411.75,412.58,449426,13738
04-08-2011,414.7,415.83,405.13,406.25,484293,16203
05-08-2011,399.98,399.98,389.28,395.83,1197655,38350
08-08-2011,387.5,398.4,383.53,390.3,952642,28495
09-08-2011,379.98,389.35,377.05,382.7,1182534,35661
10-08-2011,393.23,395,382.5,385.5,710162,20043
11-08-2011,383.05,392.35,383.05,386.7,507903,15405
12-08-2011,390.8,390.8,379,380.4,635550,20792
16-08-2011,380.9,385.9,377.5,379.5,363604,11635
17-08-2011,380.95,387.13,375.5,377.4,547897,16527
18-08-2011,378.25,379.85,367.78,369.98,656411,18524
19-08-2011,365.5,369.5,360.8,365.6,794913,22644
22-08-2011,365.6,379.5,362.8,378.13,729484,22483
23-08-2011,380.5,385.88,373.93,382.78,690995,16587
24-08-2011,382.5,384.93,378.25,380.48,467949,12712
25-08-2011,381.3,384.25,375.55,377.15,499340,14090
26-08-2011,376.45,377.85,356.78,359.75,761020,19246
29-08-2011,365,380,364,377.03,699566,19943
30-08-2011,381.98,397,381.98,390.75,883397,31441
02-09-2011,397.78,405.95,392.5,402.7,809448,28141
05-09-2011,397.95,399.5,391.58,394.45,566553,16646
06-09-2011,392.45,412.75,388.63,410.43,1106541,30608
07-09-2011,412.5,420.9,411.5,415.85,769620,23827
08-09-2011,416.53,429.5,407,426.75,1559838,42206
09-09-2011,425.75,429.2,411.78,412.55,969959,28764
12-09-2011,406.3,411.4,398.05,402.93,787446,24280
13-09-2011,405.8,412.05,398.7,405.4,915982,26080
14-09-2011,407.23,414.35,402.25,412.65,853704,24036
15-09-2011,416.25,419,406.78,417.58,747886,22451
16-09-2011,423.68,424.65,411.03,413.73,786876,21616
19-09-2011,410.5,414.75,407.95,410.43,538256,13714
20-09-2011,410.63,426.9,408.05,425.75,947588,24156
21-09-2011,424.6,425.48,416.33,419.05,669010,17756
22-09-2011,412.48,414,390,393.23,1425456,39399
23-09-2011,386.63,396,382.5,385.38,2031770,49414
26-09-2011,385.25,386.2,374.25,379.6,1131158,27991
27-09-2011,386.85,400.2,385.45,398.93,924978,26044
28-09-2011,407,407,394.33,398.5,990385,26269
29-09-2011,396,406.03,392.25,404.05,803662,22311
30-09-2011,400.55,411.4,396.3,404.15,1572869,38126
03-10-2011,397.2,400,392.25,394.1,674778,19379
04-10-2011,392.7,395,383.25,386.2,1185427,27252
05-10-2011,386.95,389,380.83,383.63,1321132,28053
07-10-2011,393,402.35,393,400.73,738193,19923
10-10-2011,401.63,414.9,401.63,413.95,715655,21219
11-10-2011,418,420.53,410.05,412.93,1174762,20207
12-10-2011,414.5,425.73,412.5,424.75,808149,24077
13-10-2011,425,428.5,421,423.43,795117,23138
14-10-2011,420.8,435,420.8,433.4,980696,28567
17-10-2011,434.5,435,415.13,416.6,1143603,31166
18-10-2011,412.5,413.38,406.3,410,625891,20743
19-10-2011,412.45,422.3,412.25,421.15,503718,14395
20-10-2011,416.75,420.53,411.08,419.2,405078,12733
21-10-2011,419.5,424.45,415.78,417.7,529387,15092
24-10-2011,423.95,427.05,421.08,423.13,381075,12482
25-10-2011,426.5,439.65,421.15,437.5,848347,23946
26-10-2011,438.5,440.48,435.6,436.68,264418,8513
28-10-2011,448.5,449.95,442.08,449,744554,22620
31-10-2011,449.3,449.3,437.03,438.88,382842,12502
01-11-2011,434.5,439.23,428.75,430.28,554537,15133
02-11-2011,427.5,440.45,427.28,435.73,683160,19156
03-11-2011,434.23,444,431.58,442.3,679028,18244
04-11-2011,450.55,451,436.9,439.8,611636,17226
08-11-2011,440,442.25,434.28,440.93,450384,11996
09-11-2011,445.05,446.25,430.45,432.28,351304,10919
11-11-2011,429.45,443,425.4,441.93,793052,22691
14-11-2011,444.78,447.98,436.5,437.58,604160,19464
15-11-2011,435.5,439,429.1,431.35,520282,14015
16-11-2011,430.15,430.15,419.2,424.48,580466,18988
17-11-2011,422.5,424.35,403.63,405.33,1260015,33337
18-11-2011,400.03,406,394.03,404.03,1057983,26543
21-11-2011,400.45,400.45,391.05,393.43,1142722,19954
22-11-2011,393.3,402.15,393.3,397.53,709911,20670
23-11-2011,394.5,394.5,377.65,386.88,1024250,29442
24-11-2011,387.5,389,377.5,387.1,1113953,28926
25-11-2011,384.45,385.5,375.58,377,713764,22532
28-11-2011,382,392.5,381.5,391.5,676275,16103
29-11-2011,391.4,391.4,380,382.5,822477,24173
30-11-2011,378.3,392,376.88,389.4,830863,23260
01-12-2011,399.28,405,397.58,399.25,864405,24420
02-12-2011,399,406.45,393.25,405.4,688888,19647
05-12-2011,403.83,406,399.25,403.68,451293,13735
07-12-2011,403.68,409.5,401.83,404.6,498540,15140
08-12-2011,401.45,403.65,386.5,389.6,944146,24487
09-12-2011,384.85,384.85,376.25,377.73,1212078,30395
12-12-2011,380.55,381.85,362.13,363.95,1308589,32675
13-12-2011,361.25,372.75,360.5,371.3,1537511,30107
14-12-2011,368.95,376.95,367,370.85,1116653,31951
15-12-2011,366.15,376.48,361.93,374.35,1324990,37861
16-12-2011,375.8,380.63,359.5,361.5,1132447,34259
19-12-2011,359.95,369.9,357.7,367.93,1002451,27471
20-12-2011,370,370.63,354.58,356.78,1322084,33849
21-12-2011,364.5,377,361.25,373.63,824908,23702
22-12-2011,371.03,379.9,366.83,377.38,726800,22216
23-12-2011,379.5,384.7,371.28,373.23,841919,26255
26-12-2011,375,382.25,372.68,380.48,622454,18009
27-12-2011,382.55,384.4,372.78,376.63,634582,19071
28-12-2011,375.7,379.5,367.53,369.28,627958,18864
29-12-2011,366.95,369.7,354.5,356.45,899436,28605
30-12-2011,356.5,360.5,345,346.45,1602743,46326
02-01-2012,348.95,354.75,343.78,353.48,1091525,32979
03-01-2012,356,362.95,355.3,361.85,828068,24590
04-01-2012,363.95,365.45,356.75,358,931181,25173
05-01-2012,357.7,362.43,347.63,349.63,1277540,33718
06-01-2012,349,361.8,348.25,358.45,1029939,30474
07-01-2012,357.55,359.58,356.78,357.35,96370,2946
09-01-2012,356.4,356.95,351.78,353.48,596127,20099
10-01-2012,356,369,356,367.58,917234,24761
11-01-2012,369.3,375.95,365.65,374.18,830842,23319
12-01-2012,373,376.75,366.58,368.78,580649,18537
13-01-2012,371.95,375.3,364.18,366.03,852646,22428
16-01-2012,365,365,355.5,356.7,814874,21206
17-01-2012,358.45,371.2,358.25,370.18,903829,23783
18-01-2012,381.08,393.4,379.35,388.45,1600869,45473
19-01-2012,394.5,397.8,391.18,392.58,898573,24768
20-01-2012,395.3,399.5,386.3,396.68,977806,28514
23-01-2012,378.33,389.9,378,385.5,1094956,28911
24-01-2012,386.28,395.9,385.5,391.58,875577,22484
25-01-2012,394.95,397.4,391.5,395.05,514803,14468
27-01-2012,398.3,412.5,398.3,408.8,993406,29537
30-01-2012,407.85,409.4,396.6,397.73,625843,19685
31-01-2012,401.6,409.2,401,407.73,738088,18874
01-02-2012,409.75,416.5,407.65,415.15,1357476,20136
02-02-2012,418.25,421.18,412,414.3,696934,17024
03-02-2012,416,419.7,407.78,418.88,660802,15706
06-02-2012,421.5,424.5,412,416.38,550496,16933
07-02-2012,420.5,426.2,417.48,422.38,1011946,22870
08-02-2012,424,432.23,422.5,429.03,945448,20363
09-02-2012,428.45,429.85,421.5,426.33,689866,13393
10-02-2012,425.95,429.45,419,421.08,442465,11428
13-02-2012,421.4,428.9,420.68,424.08,784268,13348
14-02-2012,423.5,427.25,421.6,424.08,611707,14409
15-02-2012,427.2,427.5,416.7,418.03,682731,17934
16-02-2012,414.95,415.03,402.55,406.08,954664,27763
17-02-2012,412,412.9,404.98,408.95,1553015,29217
21-02-2012,408.95,423.4,407.55,420.9,1108427,26466
22-02-2012,424.45,427.85,415.15,416.6,824806,23128
23-02-2012,417,423.95,414.5,419.05,839309,17059
24-02-2012,417.35,420.5,407.55,410.18,525756,14835
27-02-2012,410.5,412.88,382.88,390.6,925942,24705
28-02-2012,395.35,399.95,394,398.03,590444,15935
29-02-2012,402.95,412.95,402.35,409.33,985860,21248
01-03-2012,406.35,408.48,400.6,405.18,405949,11961
02-03-2012,407.5,408.98,402.8,407.18,455078,12648
03-03-2012,407.45,407.85,406,406.6,24866,898
05-03-2012,407.5,407.5,397.28,398.95,373002,11531
06-03-2012,397.35,404.5,386.65,388.25,667430,21404
07-03-2012,387.83,388.9,375.6,380.73,859575,26313
09-03-2012,387.45,389.85,384.28,386.8,432874,14235
12-03-2012,394.75,401.4,390.5,398.48,538306,17149
13-03-2012,402,410.08,401.5,409.33,565213,16155
14-03-2012,413.55,414.73,403.18,407.15,427298,13409
15-03-2012,407.53,410.48,397.1,399.03,507926,17694
16-03-2012,390.5,398.95,383.5,385.98,771908,23240
19-03-2012,390,391,375.78,377.45,908662,23046
20-03-2012,378.88,383.2,375.25,380.2,459245,14263
21-03-2012,380,386.6,377.55,384.18,513709,14986
22-03-2012,383,385.73,367,368.25,927260,26896
23-03-2012,371.5,374.5,367.63,372,589732,16617
26-03-2012,372.45,372.45,364,364.9,762229,20721
27-03-2012,368.95,369.85,362.6,365.35,1040173,20018
28-03-2012,365.05,367.85,360.55,362.98,487232,14608
29-03-2012,360.5,364.75,359.7,362.43,436897,11857
30-03-2012,365,375.4,363.5,374.13,522336,15680
02-04-2012,375,375.25,369.58,370.4,378442,11923
03-04-2012,372.35,381.2,372.35,376.23,626724,18089
04-04-2012,373.25,378.65,372.03,373.55,412418,11611
09-04-2012,370.45,373.9,367.05,371.3,552808,12107
10-04-2012,372,373.2,369.15,371.5,334121,7810
11-04-2012,369,369.5,364.23,366.45,582177,11943
12-04-2012,367.5,372.7,366.95,371.45,498228,11046
13-04-2012,373,380.68,369.5,375.63,686365,16650
16-04-2012,373.28,376.38,368.08,374.15,367446,9954
17-04-2012,373.95,376.35,370.38,373.2,412260,9629
18-04-2012,375.25,378.45,371.65,374.68,730972,18110
19-04-2012,375.55,376.98,369.5,370.88,841872,11972
20-04-2012,369.5,369.5,364.2,365.73,903991,15385
23-04-2012,363.3,372.7,362.5,368.05,1072586,18439
24-04-2012,368.53,370,362.03,367.35,311565,9671
25-04-2012,368,371.45,364,368.18,625854,10021
26-04-2012,369.2,374.88,367.13,372.73,744743,9501
27-04-2012,372,372.85,368.5,371.05,390139,8417
28-04-2012,369.85,370.85,369,369.95,16847,631
30-04-2012,369.5,374,369.28,372.6,358669,4913
02-05-2012,374.5,375.45,370.08,371.68,303524,5702
03-05-2012,370.5,371.95,367.55,369.43,304851,6765
04-05-2012,365.9,369.95,361.05,363.23,608952,11839
07-05-2012,358.5,361,352.65,357.65,594679,13898
08-05-2012,359.8,359.8,335.5,354.33,712451,17686
09-05-2012,351.5,354.2,345.63,347.55,651842,18652
10-05-2012,348.85,353.9,346.03,347.33,651396,13160
11-05-2012,346.5,351.7,344.4,348.65,473385,12217
14-05-2012,350.7,351.23,339,340.58,726097,13952
15-05-2012,339.9,343.95,337,340.6,507614,11603
16-05-2012,337.5,341.38,336.78,338.1,448293,11726
17-05-2012,340.9,344.7,339,342.55,565628,11503
18-05-2012,339,348.13,338.1,344.33,381419,10477
21-05-2012,344.5,350,343,347.75,311039,8513
22-05-2012,351.9,351.98,344.13,345.6,481997,8581
23-05-2012,343.75,344.95,340.18,343.6,463286,8084
24-05-2012,346,350,343.75,348.23,360500,8244
25-05-2012,348.2,348.3,344.15,346,394076,7952
28-05-2012,348.2,351.4,346.2,350.6,519623,7544
29-05-2012,352.15,354.75,349.13,350.88,297090,8347
30-05-2012,350.83,354.45,347.98,353.1,306020,7734
31-05-2012,349.3,360.23,341.4,353,826161,16157
01-06-2012,353.75,354.7,339,341.85,711151,16410
